28  39  36
8  24  29  0
8  24  28  0
8  24  27  0
8  24  26  0
8  24  25  0
8  24  24  0
8  24  23  0
8  24  22  0
8  24  21  0
8  24  20  0
8  24  19  0
8  24  18  0
8  24  17  0
8  24  16  0
8  24  15  0
8  24  14  0
8  24  13  0
8  24  12  0
8  24  11  0
8  24  10  2
8  24  9  2
8  24  8  1
8  24  7  1
8  24  6  1
8  24  5  1
8  23  33  3
8  23  32  3
8  23  31  0
8  23  30  0
8  23  29  0
8  23  28  0
8  23  27  0
8  23  26  0
8  23  25  0
8  23  24  0
8  23  23  1
8  23  22  1
8  23  21  2
8  23  20  0
8  23  19  0
8  23  18  0
8  23  17  0
8  23  16  0
8  23  15  0
8  23  14  0
8  23  13  0
8  23  12  0
8  23  11  0
8  23  10  0
8  23  9  2
8  22  32  3
8  22  31  0
8  22  30  0
8  22  29  0
8  22  28  0
8  22  27  0
8  22  26  0
8  22  25  0
8  22  24  0
8  22  23  1
8  22  22  1
8  22  21  2
8  22  20  2
8  22  19  1
8  22  18  0
8  22  17  0
8  22  16  0
8  22  15  0
8  22  14  0
8  22  13  0
8  22  12  0
8  22  11  0
8  22  10  1
8  22  9  1
8  21  32  3
8  21  31  3
8  21  30  3
8  21  29  0
8  21  28  0
8  21  27  0
8  21  26  0
8  21  25  2
8  21  24  2
8  21  23  1
8  21  22  1
8  21  20  1
8  21  19  1
8  21  18  1
8  21  17  0
8  21  16  0
8  21  15  0
8  21  14  0
8  21  13  0
8  21  12  0
8  21  11  2
8  21  10  1
8  21  9  1
8  20  31  3
8  20  30  3
8  20  29  3
8  20  28  3
8  20  27  2
8  20  26  2
8  20  25  1
8  20  24  2
8  20  19  1
8  20  18  1
8  20  17  1
8  20  16  3
8  20  15  3
8  20  14  3
8  20  13  1
8  20  12  2
8  20  11  2
8  19  29  3
8  19  28  3
8  19  27  3
9  30  10  1
9  30  9  1
9  30  8  1
9  30  7  1
9  30  6  1
9  30  5  1
9  29  11  1
9  29  10  1
9  29  9  1
9  29  8  0
9  29  7  0
9  29  6  0
9  29  5  1
9  29  4  1
9  28  18  2
9  28  17  1
9  28  16  1
9  28  15  1
9  28  14  2
9  28  13  2
9  28  11  1
9  28  10  0
9  28  9  0
9  28  8  0
9  28  7  0
9  28  6  0
9  28  5  0
9  28  4  1
9  28  3  1
9  27  32  3
9  27  31  3
9  27  30  3
9  27  29  2
9  27  28  1
9  27  27  1
9  27  26  1
9  27  25  2
9  27  24  1
9  27  23  1
9  27  19  2
9  27  18  2
9  27  17  0
9  27  16  0
9  27  15  0
9  27  14  0
9  27  13  2
9  27  12  2
9  27  11  1
9  27  10  0
9  27  9  0
9  27  8  0
9  27  7  0
9  27  6  0
9  27  5  0
9  27  4  0
9  27  3  1
9  26  33  3
9  26  32  3
9  26  31  3
9  26  30  0
9  26  29  0
9  26  28  0
9  26  27  0
9  26  26  0
9  26  25  0
9  26  24  0
9  26  23  1
9  26  22  2
9  26  21  2
9  26  20  2
9  26  19  2
9  26  18  0
9  26  17  0
9  26  16  0
9  26  15  0
9  26  14  0
9  26  13  0
9  26  12  0
9  26  11  0
9  26  10  0
9  26  9  0
9  26  8  0
9  26  7  0
9  26  6  0
9  26  5  0
9  26  4  1
9  26  3  1
9  25  33  3
9  25  32  3
9  25  31  0
9  25  30  0
9  25  29  0
9  25  28  0
9  25  27  0
9  25  26  0
9  25  25  0
9  25  24  0
9  25  23  0
9  25  22  0
9  25  21  2
9  25  20  2
9  25  19  0
9  25  18  0
9  25  17  0
9  25  16  0
9  25  15  0
9  25  14  0
9  25  13  0
9  25  12  0
9  25  11  0
9  25  10  0
9  25  9  0
9  25  8  0
9  25  7  0
9  25  6  0
9  25  5  1
9  25  4  1
9  25  3  1
9  24  33  3
9  24  32  0
9  24  31  0
9  24  30  0
9  24  29  0
9  24  28  0
9  24  27  0
9  24  26  0
9  24  25  0
9  24  24  0
9  24  23  0
9  24  22  0
9  24  21  0
9  24  20  0
9  24  19  0
9  24  18  0
9  24  17  0
9  24  16  0
9  24  15  0
9  24  14  0
9  24  13  0
9  24  12  0
9  24  11  0
9  24  10  0
9  24  9  1
9  24  8  1
9  24  7  1
9  24  6  1
9  24  5  1
9  24  4  1
9  23  33  3
9  23  32  3
9  23  31  0
9  23  30  0
9  23  29  0
9  23  28  0
9  23  27  0
9  23  26  0
9  23  25  0
9  23  24  0
9  23  23  0
9  23  22  0
9  23  21  0
9  23  20  0
9  23  19  0
9  23  18  0
9  23  17  0
9  23  16  0
9  23  15  0
9  23  14  0
9  23  13  0
9  23  12  0
9  23  11  0
9  23  10  0
9  23  9  2
9  22  33  3
9  22  32  3
9  22  31  0
9  22  30  0
9  22  29  0
9  22  28  0
9  22  27  0
9  22  26  0
9  22  25  0
9  22  24  0
9  22  23  0
9  22  22  2
9  22  21  2
9  22  20  2
9  22  19  0
9  22  18  0
9  22  17  0
9  22  16  0
9  22  15  0
9  22  14  0
9  22  13  0
9  22  12  0
9  22  11  0
9  22  10  0
9  22  9  2
9  21  32  3
9  21  31  3
9  21  30  0
9  21  29  0
9  21  28  0
9  21  27  0
9  21  26  0
9  21  25  0
9  21  24  2
9  21  23  1
9  21  22  1
9  21  20  2
9  21  19  1
9  21  18  0
9  21  17  0
9  21  16  0
9  21  15  0
9  21  14  0
9  21  13  0
9  21  12  0
9  21  11  2
9  21  10  1
9  21  9  1
9  20  31  3
9  20  30  3
9  20  29  3
9  20  28  3
9  20  27  2
9  20  26  2
9  20  25  2
9  20  24  2
9  20  19  1
9  20  18  1
9  20  17  1
9  20  16  1
9  20  15  1
9  20  14  1
9  20  13  1
9  20  12  2
9  20  11  2
10  30  9  1
10  30  8  1
10  30  7  1
10  30  6  1
10  30  5  1
10  29  11  1
10  29  10  1
10  29  9  1
10  29  8  0
10  29  7  0
10  29  6  1
10  29  5  1
10  29  4  1
10  28  18  2
10  28  17  1
10  28  16  1
10  28  15  1
10  28  14  2
10  28  13  2
10  28  11  1
10  28  10  1
10  28  9  0
10  28  8  0
10  28  7  0
10  28  6  0
10  28  5  0
10  28  4  1
10  28  3  1
10  27  32  3
10  27  31  3
10  27  30  3
10  27  29  2
10  27  28  2
10  27  27  1
10  27  26  1
10  27  25  2
10  27  24  2
10  27  23  1
10  27  19  2
10  27  18  2
10  27  17  0
10  27  16  0
10  27  15  0
10  27  14  0
10  27  13  2
10  27  12  2
10  27  11  1
10  27  10  0
10  27  9  0
10  27  8  0
10  27  7  0
10  27  6  0
10  27  5  0
10  27  4  0
10  27  3  1
10  26  33  3
10  26  32  3
10  26  31  3
10  26  30  0
10  26  29  0
10  26  28  0
10  26  27  0
10  26  26  0
10  26  25  0
10  26  24  1
10  26  23  1
10  26  22  2
10  26  21  2
10  26  20  2
10  26  19  2
10  26  18  0
10  26  17  0
10  26  16  0
10  26  15  0
10  26  14  0
10  26  13  0
10  26  12  2
10  26  11  1
10  26  10  0
10  26  9  0
10  26  8  0
10  26  7  0
10  26  6  0
10  26  5  0
10  26  4  1
10  26  3  1
10  25  33  3
10  25  32  3
10  25  31  0
10  25  30  0
10  25  29  0
10  25  28  0
10  25  27  0
10  25  26  0
10  25  25  0
10  25  24  0
10  25  23  0
10  25  22  0
10  25  21  2
10  25  20  2
10  25  19  1
10  25  18  0
10  25  17  0
10  25  16  0
10  25  15  0
10  25  14  0
10  25  13  0
10  25  12  0
10  25  11  0
10  25  10  0
10  25  9  0
10  25  8  0
10  25  7  0
10  25  6  0
10  25  5  1
10  25  4  1
10  25  3  1
10  24  33  3
10  24  32  0
10  24  31  0
10  24  30  0
10  24  29  0
10  24  28  0
10  24  27  0
10  24  26  0
10  24  25  0
10  24  24  0
10  24  23  0
10  24  22  0
10  24  21  0
10  24  20  0
10  24  19  0
10  24  18  0
10  24  17  0
10  24  16  0
10  24  15  0
10  24  14  0
10  24  13  0
10  24  12  0
10  24  11  0
10  24  10  2
10  24  9  1
10  24  8  1
10  24  7  1
10  24  6  1
10  24  5  1
10  24  4  1
10  23  33  3
10  23  32  3
10  23  31  0
10  23  30  0
10  23  29  0
10  23  28  0
10  23  27  0
10  23  26  0
10  23  25  0
10  23  24  0
10  23  23  0
10  23  22  0
10  23  21  0
10  23  20  0
10  23  19  0
10  23  18  0
10  23  17  0
10  23  16  0
10  23  15  0
10  23  14  0
10  23  13  0
10  23  12  0
10  23  11  0
10  23  10  0
10  23  9  2
10  22  33  3
10  22  32  3
10  22  31  0
10  22  30  0
10  22  29  0
10  22  28  0
10  22  27  0
10  22  26  0
10  22  25  0
10  22  24  0
10  22  23  0
10  22  22  2
10  22  21  2
10  22  20  2
10  22  19  1
10  22  18  0
10  22  17  0
10  22  16  0
10  22  15  0
10  22  14  0
10  22  13  0
10  22  12  0
10  22  11  0
10  22  10  0
10  22  9  2
10  21  32  3
10  21  31  3
10  21  30  3
10  21  29  0
10  21  28  0
10  21  27  0
10  21  26  0
10  21  25  0
10  21  24  2
10  21  23  1
10  21  22  1
10  21  20  1
10  21  19  1
10  21  18  0
10  21  17  0
10  21  16  0
10  21  15  0
10  21  14  0
10  21  13  0
10  21  12  0
10  21  11  2
10  21  10  1
10  21  9  1
10  20  31  3
10  20  30  3
10  20  29  3
10  20  28  3
10  20  27  2
10  20  26  1
10  20  25  2
10  20  24  2
10  20  19  1
10  20  18  1
10  20  17  1
10  20  16  1
10  20  15  1
10  20  14  1
10  20  13  1
10  20  12  2
10  20  11  2
11  30  9  1
11  30  8  1
11  30  7  1
11  30  6  1
11  29  10  1
11  29  9  1
11  29  8  1
11  29  7  1
11  29  6  1
11  29  5  1
11  29  4  1
11  28  18  2
11  28  17  1
11  28  16  1
11  28  15  1
11  28  14  2
11  28  13  2
11  28  11  1
11  28  10  1
11  28  9  1
11  28  8  0
11  28  7  0
11  28  6  0
11  28  5  1
11  28  4  1
11  28  3  1
11  27  31  3
11  27  30  3
11  27  29  3
11  27  28  2
11  27  27  2
11  27  26  1
11  27  25  2
11  27  24  2
11  27  19  2
11  27  18  2
11  27  17  0
11  27  16  0
11  27  15  0
11  27  14  2
11  27  13  2
11  27  12  2
11  27  11  1
11  27  10  1
11  27  9  0
11  27  8  0
11  27  7  0
11  27  6  0
11  27  5  0
11  27  4  1
11  27  3  1
11  26  32  3
11  26  31  3
11  26  30  3
11  26  29  0
11  26  28  0
11  26  27  0
11  26  26  1
11  26  25  2
11  26  24  2
11  26  23  1
11  26  22  1
11  26  21  2
11  26  19  2
11  26  18  0
11  26  17  0
11  26  16  0
11  26  15  0
11  26  14  0
11  26  13  0
11  26  12  2
11  26  11  2
11  26  10  1
11  26  9  0
11  26  8  0
11  26  7  0
11  26  6  0
11  26  5  1
11  26  4  1
11  26  3  1
11  25  33  3
11  25  32  3
11  25  31  0
11  25  30  0
11  25  29  0
11  25  28  0
11  25  27  0
11  25  26  0
11  25  25  0
11  25  24  0
11  25  23  0
11  25  22  1
11  25  21  2
11  25  20  2
11  25  19  1
11  25  18  0
11  25  17  0
11  25  16  0
11  25  15  0
11  25  14  0
11  25  13  0
11  25  12  0
11  25  11  2
11  25  10  1
11  25  9  1
11  25  8  1
11  25  7  1
11  25  6  1
11  25  5  1
11  25  4  1
11  24  33  3
11  24  32  3
11  24  31  0
11  24  30  0
11  24  29  0
11  24  28  0
11  24  27  0
11  24  26  0
11  24  25  0
11  24  24  0
11  24  23  0
11  24  22  0
11  24  21  2
11  24  20  2
11  24  19  1
11  24  18  0
11  24  17  0
11  24  16  0
11  24  15  0
11  24  14  0
11  24  13  0
11  24  12  0
11  24  11  0
11  24  10  2
11  24  9  2
11  24  8  1
11  24  7  1
11  24  6  1
11  24  5  1
11  23  33  3
11  23  32  3
11  23  31  0
11  23  30  0
11  23  29  0
11  23  28  0
11  23  27  0
11  23  26  0
11  23  25  0
11  23  24  1
11  23  23  1
11  23  22  1
11  23  21  2
11  23  20  2
11  23  19  0
11  23  18  0
11  23  17  0
11  23  16  0
11  23  15  0
11  23  14  0
11  23  13  0
11  23  12  0
11  23  11  0
11  23  10  2
11  23  9  2
11  22  32  3
11  22  31  3
11  22  30  0
11  22  29  0
11  22  28  0
11  22  27  0
11  22  26  0
11  22  25  0
11  22  24  1
11  22  23  1
11  22  22  2
11  22  21  2
11  22  20  2
11  22  19  1
11  22  18  0
11  22  17  0
11  22  16  0
11  22  15  0
11  22  14  0
11  22  13  0
11  22  12  0
11  22  11  0
11  22  10  1
11  22  9  2
11  21  32  3
11  21  31  3
11  21  30  3
11  21  29  0
11  21  28  0
11  21  27  0
11  21  26  1
11  21  25  2
11  21  24  2
11  21  23  1
11  21  22  1
11  21  19  1
11  21  18  1
11  21  17  0
11  21  16  0
11  21  15  0
11  21  14  0
11  21  13  0
11  21  12  2
11  21  11  2
11  21  10  1
11  21  9  1
11  20  30  3
11  20  29  3
11  20  28  3
11  20  27  2
11  20  26  1
11  20  25  1
11  20  24  2
11  20  19  1
11  20  18  1
11  20  17  1
11  20  16  3
11  20  15  3
11  20  14  3
11  20  13  1
11  20  12  2
11  20  11  2
11  19  30  3
11  19  29  3
11  19  28  3
11  19  27  3
12  29  9  1
12  29  8  1
12  29  7  1
12  29  6  1
12  29  5  1
12  28  18  2
12  28  17  2
12  28  16  1
12  28  15  1
12  28  14  1
12  28  10  1
12  28  9  1
12  28  8  1
12  28  7  1
12  28  6  1
12  28  5  1
12  28  4  1
12  27  30  3
12  27  29  3
12  27  28  2
12  27  27  2
12  27  26  1
12  27  19  2
12  27  18  2
12  27  17  2
12  27  16  1
12  27  15  1
12  27  14  1
12  27  13  2
12  27  12  2
12  27  10  1
12  27  9  1
12  27  8  1
12  27  7  1
12  27  6  1
12  27  5  1
12  27  4  1
12  26  32  3
12  26  31  3
12  26  30  3
12  26  29  3
12  26  28  3
12  26  27  2
12  26  26  1
12  26  25  2
12  26  24  2
12  26  23  1
12  26  22  1
12  26  19  2
12  26  18  2
12  26  17  2
12  26  16  0
12  26  15  0
12  26  14  1
12  26  13  2
12  26  12  2
12  26  11  2
12  26  10  1
12  26  9  1
12  26  8  1
12  26  7  1
12  26  6  1
12  26  5  1
12  26  4  1
12  25  32  3
12  25  31  3
12  25  30  3
12  25  29  0
12  25  28  0
12  25  27  0
12  25  26  0
12  25  25  2
12  25  24  2
12  25  23  1
12  25  22  1
12  25  21  2
12  25  19  1
12  25  18  2
12  25  17  0
12  25  16  0
12  25  15  0
12  25  14  0
12  25  13  2
12  25  12  2
12  25  11  2
12  25  10  2
12  25  9  1
12  25  8  1
12  25  7  1
12  25  6  1
12  25  5  1
12  24  32  3
12  24  31  3
12  24  30  0
12  24  29  0
12  24  28  0
12  24  27  0
12  24  26  0
12  24  25  0
12  24  24  0
12  24  23  1
12  24  22  1
12  24  21  2
12  24  20  2
12  24  19  1
12  24  18  1
12  24  17  0
12  24  16  0
12  24  15  0
12  24  14  0
12  24  13  0
12  24  12  0
12  24  11  2
12  24  10  2
12  23  32  3
12  23  31  3
12  23  30  0
12  23  29  0
12  23  28  1
12  23  27  1
12  23  26  1
12  23  25  1
12  23  24  1
12  23  23  1
12  23  22  1
12  23  21  2
12  23  20  2
12  23  19  1
12  23  18  1
12  23  17  0
12  23  16  0
12  23  15  0
12  23  14  0
12  23  13  0
12  23  12  0
12  23  11  2
12  23  10  2
12  23  9  2
12  22  32  3
12  22  31  3
12  22  30  3
12  22  29  0
12  22  28  1
12  22  27  1
12  22  26  1
12  22  25  1
12  22  24  2
12  22  23  1
12  22  22  1
12  22  21  2
12  22  20  2
12  22  19  1
12  22  18  1
12  22  17  1
12  22  16  0
12  22  15  0
12  22  14  0
12  22  13  0
12  22  12  0
12  22  11  1
12  22  10  1
12  22  9  1
12  21  31  3
12  21  30  3
12  21  29  3
12  21  28  1
12  21  27  2
12  21  26  2
12  21  25  1
12  21  24  2
12  21  23  2
12  21  19  1
12  21  18  1
12  21  17  2
12  21  16  1
12  21  15  3
12  21  14  1
12  21  13  2
12  21  12  2
12  21  11  1
12  21  10  1
12  20  32  3
12  20  31  3
12  20  30  3
12  20  29  3
12  20  28  3
12  20  27  2
12  20  26  2
12  20  18  1
12  20  17  1
12  20  16  3
12  20  15  3
12  20  14  3
12  20  13  2
12  20  12  2
12  19  33  3
12  19  32  3
12  19  31  3
12  19  30  3
12  19  29  3
12  19  28  3
12  19  27  3
12  18  33  3
12  18  32  3
12  18  31  3
13  27  17  2
13  27  16  1
13  27  15  1
13  27  14  1
13  26  30  3
13  26  29  3
13  26  28  3
13  26  27  2
13  26  26  1
13  26  25  1
13  26  18  2
13  26  17  2
13  26  16  1
13  26  15  1
13  26  14  1
13  26  13  1
13  25  31  3
13  25  30  3
13  25  29  3
13  25  28  3
13  25  27  2
13  25  26  1
13  25  25  1
13  25  24  2
13  25  23  1
13  25  18  2
13  25  17  2
13  25  16  2
13  25  15  1
13  25  14  1
13  25  13  1
13  25  12  2
13  25  11  2
13  24  31  3
13  24  30  3
13  24  29  3
13  24  28  3
13  24  27  2
13  24  26  1
13  24  25  1
13  24  24  2
13  24  23  1
13  24  18  1
13  24  17  2
13  24  16  2
13  24  15  0
13  24  14  1
13  24  13  1
13  24  12  1
13  24  11  2
13  23  31  3
13  23  30  3
13  23  29  3
13  23  28  3
13  23  27  2
13  23  26  1
13  23  25  1
13  23  24  2
13  23  23  2
13  23  22  1
13  23  18  1
13  23  17  1
13  23  16  2
13  23  15  2
13  23  14  2
13  23  13  1
13  23  12  1
13  23  11  1
13  23  10  1
13  22  31  3
13  22  30  3
13  22  29  3
13  22  28  1
13  22  27  1
13  22  26  2
13  22  25  1
13  22  24  2
13  22  23  2
13  22  18  1
13  22  17  1
13  22  16  1
13  22  15  2
13  22  14  2
13  22  13  2
13  22  12  1
13  22  11  1
13  22  10  1
13  21  30  3
13  21  29  3
13  21  28  1
13  21  27  2
13  21  26  2
13  21  25  1
13  21  17  1
13  21  16  1
13  21  15  1
13  21  14  2
13  21  13  2
13  21  12  2
13  21  11  1
13  19  33  3
13  19  32  3
13  19  31  3
13  19  30  3
13  18  33  3
13  18  32  3
14  25  16  2
14  25  15  2
14  25  14  1
14  24  16  2
14  24  15  2
14  24  14  1
14  24  13  1
14  23  16  2
14  23  15  2
14  23  14  2
14  23  13  1
14  23  12  1
14  22  28  1
14  22  27  1
14  22  14  2
14  22  13  2
14  22  12  1
14  21  28  1
