16  31  29  2
16  30  39  2
16  30  38  2
16  30  37  2
16  30  36  0
16  30  35  0
16  30  34  0
16  30  33  0
16  30  32  0
16  30  31  0
16  30  30  2
16  30  29  2
16  30  28  2
16  29  39  2
16  29  38  2
16  29  37  2
16  29  36  2
16  29  35  2
16  29  34  0
16  29  33  0
16  29  32  2
16  29  31  2
16  29  30  2
16  29  29  2
16  29  28  2
16  28  37  2
16  28  36  2
16  28  35  2
16  28  34  2
16  28  33  2
16  28  32  2
16  28  31  2
16  28  30  2
16  28  29  2
16  28  28  2
16  27  35  2
16  27  34  2
16  27  33  2
16  27  32  2
16  27  31  2
16  27  30  2
16  27  19  2
16  27  18  2
16  27  17  2
16  27  16  2
16  27  15  2
16  27  14  2
16  27  13  2
16  27  12  2
16  27  11  2
16  27  10  2
16  26  21  2
16  26  20  2
16  26  19  2
16  26  18  0
16  26  17  0
16  26  16  0
16  26  15  0
16  26  14  0
16  26  13  0
16  26  12  0
16  26  11  2
16  26  10  2
16  26  9  2
16  26  8  2
16  25  21  2
16  25  20  0
16  25  19  0
16  25  18  0
16  25  17  0
16  25  16  0
16  25  15  0
16  25  14  0
16  25  13  0
16  25  12  0
16  25  11  0
16  25  10  0
16  25  9  2
16  25  8  2
16  25  7  2
16  24  22  2
16  24  21  2
16  24  20  0
16  24  19  0
16  24  18  0
16  24  17  0
16  24  16  0
16  24  15  0
16  24  14  0
16  24  13  0
16  24  12  0
16  24  11  0
16  24  10  0
16  24  9  0
16  24  8  2
16  24  7  2
16  24  6  2
16  23  22  2
16  23  21  2
16  23  20  0
16  23  19  0
16  23  18  0
16  23  17  0
16  23  16  0
16  23  15  0
16  23  14  0
16  23  13  0
16  23  12  0
16  23  11  0
16  23  10  0
16  23  9  0
16  23  8  0
16  23  7  2
16  23  6  2
16  22  22  2
16  22  21  2
16  22  20  0
16  22  19  0
16  22  18  0
16  22  17  0
16  22  16  0
16  22  15  0
16  22  14  0
16  22  13  0
16  22  12  0
16  22  11  0
16  22  10  0
16  22  9  0
16  22  8  0
16  22  7  0
16  22  6  2
16  22  5  2
16  21  21  2
16  21  20  2
16  21  19  0
16  21  18  0
16  21  17  0
16  21  16  0
16  21  15  0
16  21  14  0
16  21  13  0
16  21  12  0
16  21  11  0
16  21  10  0
16  21  9  0
16  21  8  0
16  21  7  0
16  21  6  2
16  21  5  2
16  20  20  2
16  20  19  2
16  20  18  2
16  20  17  0
16  20  16  0
16  20  15  0
16  20  14  0
16  20  13  0
16  20  12  0
16  20  11  0
16  20  10  0
16  20  9  0
16  20  8  0
16  20  7  2
16  20  6  2
16  19  19  2
16  19  18  2
16  19  17  2
16  19  16  2
16  19  15  2
16  19  14  0
16  19  13  0
16  19  12  0
16  19  11  0
16  19  10  0
16  19  9  0
16  19  8  2
16  19  7  2
16  19  6  2
16  18  16  2
16  18  15  2
16  18  14  2
16  18  13  2
16  18  12  0
16  18  11  0
16  18  10  2
16  18  9  2
16  18  8  2
16  18  7  2
16  17  14  2
16  17  13  2
16  17  12  2
16  17  11  2
16  17  10  2
16  17  9  2
17  36  34  2
17  36  33  2
17  36  32  2
17  36  31  2
17  36  30  2
17  36  29  2
17  35  37  2
17  35  36  2
17  35  35  2
17  35  34  2
17  35  33  0
17  35  32  0
17  35  31  2
17  35  30  2
17  35  29  2
17  34  39  2
17  34  38  2
17  34  37  2
17  34  36  0
17  34  35  0
17  34  34  0
17  34  33  0
17  34  32  0
17  34  31  0
17  34  30  2
17  34  29  2
17  33  40  2
17  33  39  2
17  33  38  0
17  33  37  0
17  33  36  0
17  33  35  0
17  33  34  0
17  33  33  0
17  33  32  0
17  33  31  0
17  33  30  0
17  33  29  2
17  32  41  2
17  32  40  2
17  32  39  0
17  32  38  0
17  32  37  0
